project_basename,project_dir,is_mrcs,has_sch,has_pcb,sch_title,sch_company,sch_rev,sch_date,sch_comment1,sch_comment2,sch_comment3,sch_comment4,sch_comment5,sch_comment6,sch_comment7,sch_comment8,sch_comment9,pcb_title,pcb_company,pcb_rev,pcb_date,pcb_comment1,pcb_comment2,pcb_comment3,pcb_comment4,pcb_comment5,pcb_comment6,pcb_comment7,pcb_comment8,pcb_comment9,text_variable_keys,notes
AltmillSwitchController,/Users/jplocher/Dropbox/KiCad/projects/AltmillSwitchController,False,True,True,Altmill Remote Power Sequencer,SPCoast,A,2025-12-03,,,,,,,,,,,,,,,,,,,,,,,,no title_block in AltmillSwitchController.kicad_pcb
AltmillSwitchRemote,/Users/jplocher/Dropbox/KiCad/projects/AltmillSwitchRemote,False,True,True,Altmill Power - Remote,SPCoast,A,2025-12-03,,,,,,,,,,,,,,,,,,,,,,,,no title_block in AltmillSwitchRemote.kicad_pcb
Brakeman,/Users/jplocher/Dropbox/KiCad/projects/Brakeman-BLUE,False,True,True,Safety Sam the Brakeman,SPCoast / MRCS,A,"2024,09",,,,,,,,,,Safety Sam the Brakeman,SPCoast / MRCS,A,2024.09,,,,,,,,,,,
Brakeman,/Users/jplocher/Dropbox/KiCad/projects/Brakeman-RED,False,True,True,Safety Sam the Brakeman,SPCoast / MRCS,A,"2024,09",,,,,,,,,,Safety Sam the Brakeman,SPCoast / MRCS,A,2024.09,,,,,,,,,,,
Core-ESP32,/Users/jplocher/Dropbox/KiCad/projects/Core-ESP32,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in Core-ESP32.kicad_sch; no title_block in Core-ESP32.kicad_pcb
Core-ESP32,/Users/jplocher/Dropbox/KiCad/projects/Core-ESP32-Devkit,False,True,True,I/O & I2C Adapter for ESP32-DEV,SPCoast,3.0,2026-04-06,John Plocher,"Breaks out 5v I2C, IO4 style headers and I2C OLED Display",Processor carrier board for ESP32-DEV,,,,,,,Core-ESP32-DEV,SPCoast,3.2,2026.04,John Plocher,,,,,,,,,,
Core-wt32-eth0,/Users/jplocher/Dropbox/KiCad/projects/Core-wt32-eth0,False,True,True,WT32-ETH01 Processor,FoMoCo,1.0,2024-11-17,John Plocher,Cambria,,,,,,,,Plexi Core,FoMoCo,v1.0B,2024.11,Cambria,,,,,,,,,,
IOB-Baseboard,/Users/jplocher/Dropbox/KiCad/projects/IOB-Baseboard,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in IOB-Baseboard.kicad_sch; no title_block in IOB-Baseboard.kicad_pcb
IOX-Darlington,/Users/jplocher/Dropbox/KiCad/projects/IOX-Darlington/IOX-Darlington/IOX-Darlington,False,True,True,${PROJECTNAME},MRCS,1.0,DATE,Designer Name,Sheet Title Line 1,Sheet Title Line 2,Sheet Title Line 3,,,,,,${PROJECTNAME},MRCS,A,Fab Date,Designer Name,,,,,,,,,,
I2C-LEDStripDriver,/Users/jplocher/Dropbox/KiCad/projects/LEDStripDriver,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in I2C-LEDStripDriver.kicad_sch; no title_block in I2C-LEDStripDriver.kicad_pcb
LightAdapter,/Users/jplocher/Dropbox/KiCad/projects/LightDimmer/LightAdapter-6p6c,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in LightAdapter.kicad_sch; no title_block in LightAdapter.kicad_pcb
LightAdapter,/Users/jplocher/Dropbox/KiCad/projects/LightDimmer/LightAdapter-8p8c,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in LightAdapter.kicad_sch; no title_block in LightAdapter.kicad_pcb
LightDimmer,/Users/jplocher/Dropbox/KiCad/projects/LightDimmer/LightDimmer-v1,False,True,True,Light Dimmer,SPCoast,1.0,2025-01-20,John Plocher,,,,,,,,,,,,,,,,,,,,,,,no title_block in LightDimmer.kicad_pcb
LightDimmer,/Users/jplocher/Dropbox/KiCad/projects/LightDimmer/LightDimmer-v1B,False,True,True,Light Dimmer,SPCoast,1.0,2025-01-20,John Plocher,,,,,,,,,,,,,,,,,,,,,,,no title_block in LightDimmer.kicad_pcb
IOX-Darlington,/Users/jplocher/Dropbox/KiCad/projects/MRCS/IOX-Darlington,True,True,True,,,,,,,,,,,,,,ULN2003 Driver,MRCS,1.0A,2026.07,John Plocher,,,,,,,,,,no title_block in IOX-Darlington.kicad_sch
IOX_Blank,/Users/jplocher/Dropbox/KiCad/projects/MRCS/IOX_Blank,True,True,True,,,,,,,,,,,,,,IOX Blank Plugin,MRCS,1.0A,2026.07,John Plocher,,,,,,,,,,no title_block in IOX_Blank.kicad_sch
IOX_Monitor,/Users/jplocher/Dropbox/KiCad/projects/MRCS/IOX_Monitor,True,True,True,cpNode IOX Monitor,MRCS,1.0,2026-07,John Plocher,IOX Plugin,,,,,,,,IOX-Monitor,MRCS,1.0A,2026-07,John Plocher,,,,,,,,,,
IOX_Plugin_Footprint,/Users/jplocher/Dropbox/KiCad/projects/MRCS/IOX_Plugin_Footprint,True,True,True,IOX Plugin footprint,MRCS,1.0A,2026.07,John Plocher,PCB Layout for daughterboard connectors,,,,,,,,IOX Blank Plugin,MRCS,1.0A,2026.07,John Plocher,,,,,,,,,,
cpNode-ProMini,/Users/jplocher/Dropbox/KiCad/projects/MRCS/cpNode-ProMini,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,no title_block in cpNode-ProMini.kicad_sch; no title_block in cpNode-ProMini.kicad_pcb
cpNode-Xiao-68x90,/Users/jplocher/Dropbox/KiCad/projects/MRCS/cpNode-Xiao-68x90,True,True,True,cpNode Xiao,SPCoast,3.0,2026-04-06,John Plocher,"Breaks out 5v I2C, IO4 style headers and I2C OLED Display",Processor carrier board for ESP32-DEV,,,,,,,cpNode-Xiao-68x90,MRCS,1.0B,2026.05,John Plocher,,,,,,,,,,
cpNode-Xiao-80x70,/Users/jplocher/Dropbox/KiCad/projects/MRCS/cpNode-Xiao-80x70,True,True,True,cpNode Xiao,SPCoast,3.0,2026-04-06,John Plocher,"Breaks out 5v I2C, IO4 style headers and I2C OLED Display",Processor carrier board for ESP32-DEV,,,,,,,cpNode-Xiao-80x70,MRCS,1.0,2026.04,John Plocher,,,,,,,,,,
cpNode-Xiao,/Users/jplocher/Dropbox/KiCad/projects/MRCS/cpNode-Xiao-orig,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpNode-expander-23017,/Users/jplocher/Dropbox/KiCad/projects/MRCS/cpNode-expander-23017,True,True,True,${PROJECTNAME},MRCS,3.0,2026-07,John Plocher,IOX-16,Updated for use with,cpNode Xiao,,,,,,${PROJECTNAME},MRCS,3.0A,2026.06,John Plocher,,,,,,,,,,
